GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
api-giret-prestamo,com.giret.loan,ApiGiretLoanApplication,5,3,0,0,2,1,1,1,1,1
api-giret-prestamo,com.giret.loan.service,LoanServiceImpl,0,98,0,2,0,21,0,11,0,10
api-giret-prestamo,com.giret.loan.controller,LoanController,0,31,0,0,0,7,0,5,0,5
